"dbaverage","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround"
2762.3225099060956413,25.6085138142539217,157.2618833333333332,5012.00,368460,80,1,22
2662.9833115610711953,24.3898895057696495,149.3636833333333334,5020.00,367440,76,1,21
2735.3186730068685520,23.5889630432969050,141.3686555184783518,5017.00,359610,72,1,20
2769.2770214878061022,22.2818733931549096,133.1787572708868948,3046.00,358622,68,1,19
2690.3686997700134937,21.2461110215304711,125.1608400278360052,3054.00,353499,64,1,18
2753.7715371129655992,19.9683950911947809,117.1146372098573899,3029.00,351939,60,1,17
2655.7178136052970664,18.8761490765589823,109.1230178115874767,3033.00,346909,56,1,16
2784.7733497998963073,17.6918898293730084,101.2329936036723540,3021.00,343322,52,1,15
2664.4339913905649060,16.4315949801818332,93.1342803476706306,3025.00,340092,48,1,14
2608.1430908622084700,16.5615069309219593,93.1253534725741771,3023.00,337401,48,1,13
2412.6633193418698971,15.0633305586549304,85.0475643341657370,3041.00,338778,44,1,12
2670.0789917216080900,14.3553667030188866,77.2175174955385910,1065.00,322768,40,1,11
2419.5225705558793647,13.2307346856875317,69.2232038755171659,1048.00,313971,36,1,10
2220.3196539151014492,11.7700356924103120,61.1688754934563914,1023.00,311831,32,1,9
2027.2689785906956835,10.8723595078102175,53.3289233858091168,251.00,294358,28,1,8
1701.0227149608652607,10.2083275736461622,45.5393493060355296,1015.00,267665,24,1,7
1503.4851454748658242,9.2574497787275504,37.6870780491998577,1005.00,244269,20,1,6
1299.5364451565750267,8.4274844924195574,29.9765623395363657,266.00,213444,16,1,5
1171.6144559441907539,8.0872320686289866,22.3692839018277769,194.00,165994,12,1,4
1123.2438418079096045,7.7552890047805302,14.8668890221642764,295.00,115050,8,1,3
1112.7165809144743229,7.1498236417176326,7.3643183509691616,167.00,61806,4,1,2
1316.0776351777824532,7.8812679711059682,1.8678605091521145,1003.00,14259,1,1,1
,7.6058879392212726,0.92791832858499525745,67.00,7371,1,1,0
