dbaverage,averagert,trueparallel,maxrt,totalrequests,loadgeneratorinstances,appinstances,testround
2553.8704608802,15.3358236048,85.1751643009,3006,333297,44,1,14
2515.9547499339,14.5993050568,77.2303237503,1053,317436,40,1,13
2641.9798147815,14.8985907509,75.3421734273,3022,303424,40,1,12
2280.5296372638,13.3453153795,69.2755321351,1124,311466,36,1,11
2312.9232640172,12.3734739813,61.384804421,3014,297670,32,1,10
,12.0899762961,61.2840898448,1067,304169,32,1,9
2207.4429638465,11.5368702419,53.5195410522,1027,278341,28,1,8
1873.3911292382,10.7704470352,45.6774658761,363,254499,24,1,7
1614.2849069769,9.8500621888,37.8734891159,215,230749,20,1,6
1305.768527958,8.7062148803,30.0277351223,262,206971,16,1,5
1200.962925582,8.2340685825,22.4296028187,262,163482,12,1,4
1192.6680467969,7.7702257209,14.8877524812,263,114965,8,1,3
1179.7322463581,7.6715683745,7.4337497549,265,58143,4,1,2
1284.1850290698,8.1287063953,1.8614737645,276,13760,1,1,1
2935.1347318693,24.8058566618,141.4181888287,3035,342072,72,1,21
2935.499522126,23.2170884256,133.1964362975,3046,344233,68,1,20
2891.3711690631,21.9253886373,125.2378198964,3025,342736,64,1,19
2714.4955152775,21.1447697262,117.3111824408,3037,332908,60,1,18
2851.8309602575,19.4614582357,107.2910192535,3035,330797,56,1,17
2878.172058574,19.4871353138,101.4110521728,3038,312289,52,1,16
2751.9775528333,17.4102530725,91.3864183777,1251,314969,48,1,15
