"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround"
221.20,473.50,24.3857994748211676,157.0933202167979617,5031.00,386535,80,1,31
212.35,467.00,24.9504154992611581,157.0129647368504679,3052.00,377618,80,1,30
218.92,460.70,23.9110837313349066,149.1095181486044776,3045.00,374161,76,1,29
220.20,454.70,23.7044942569555239,149.0538598877363343,3419.00,377326,76,1,28
225.26,447.70,23.2659336916725947,141.1776856410693045,3039.00,364087,72,1,27
222.80,439.40,22.2713341153590027,133.2048493439621952,3034.00,358897,68,1,26
229.99,425.30,21.1253546752454254,125.1888518055043910,3033.00,355607,64,1,25
223.01,419.30,19.9643420099689004,117.1507589144975074,3025.00,352095,60,1,24
222.43,413.20,19.9835386971307784,117.2234379973691462,3030.00,351977,60,1,23
216.89,407.20,18.9696256473946437,109.2081348520509638,3025.00,345423,56,1,22
213.25,401.20,18.1206496381286508,101.2219488785866434,3037.00,335202,52,1,21
219.92,395.20,17.6737883859700189,101.1824385096783583,3034.00,343550,52,1,20
218.45,383.10,16.4652429254730096,93.1603444723262883,3025.00,339528,48,1,19
217.90,378.80,16.6260320255061981,93.1556574389112279,3025.00,336232,48,1,18
223.46,372.90,15.4897383537738136,85.2090506841097486,3032.00,330064,44,1,17
210.75,367.10,15.5822250530267938,85.2036065899505086,3039.00,328136,44,1,16
216.58,359.50,14.0191500063631350,77.1053250349972425,3015.00,330026,40,1,15
209.25,352.30,14.3400136826431647,77.1922936536681556,1052.00,323037,40,1,14
213.21,325.40,14.1844116133143782,77.1490147648169030,1046.00,326384,40,1,13
210.47,320.40,13.0441089150903385,69.1989977945542457,1041.00,318303,36,1,12
213.78,315.30,13.1713971236622238,69.2025204877213239,1039.00,315262,36,1,11
213.15,312.80,12.0963658851082866,61.2801895739585799,1022.00,304008,32,1,10
197.85,308.40,12.5241953030447258,61.3936053755252459,1026.00,294148,32,1,9
201.25,286.60,11.3669647005415681,53.4133671278448285,1030.00,281959,28,1,8
196.00,282.80,10.5020003759095669,45.6311916333270682,1007.00,260701,24,1,7
170.33,281.90,9.6768347029548856,37.8170700191476929,272.00,234493,20,1,6
149.09,279.20,8.8192881195231975,30.0737724875741035,1018.00,204613,16,1,5
121.18,278.10,8.0967314354571472,22.3955591504744692,1005.00,165975,12,1,4
83.20,277.20,7.9108350341645221,14.8565481941609725,257.00,112690,8,1,3
46.29,274.40,7.0852943538671593,7.3474502449602442,253.00,62255,4,1,2
13.95,253.50,7.4607399520894331,1.8651849880223583,257.00,15028,1,1,1
,,7.2485299882399059,0.92056330850646804925,71.00,7653,1,1,0
