"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround","loadgeneratorparallel","apptype"
369.542,361.60,18.7857599337615254,155.7903071306843301,1024.00,497596,80,4,23,1,"node"
377.54,357.70,19.3898883670415401,155.9140923593810239,1009.00,482474,80,4,22,1,"node"
384.04,363.20,17.8560217647840639,147.7764361253529128,1018.00,496582,76,4,21,1,"node"
380.08,362.10,17.3364670198434672,139.8359429820574065,1037.00,483988,72,4,20,1,"node"
369.05,359.60,16.5137047913027326,131.8619327585523199,1020.00,479139,68,4,19,1,"node"
368.04,364.60,15.9393851104260438,123.9924767740041948,1014.00,466783,64,4,18,1,"node"
364.61,359.60,15.3076196127557636,116.0776795235269554,267.00,455010,60,4,17,1,"node"
363.33,359.40,14.2254077841313342,107.9566196737726952,1007.00,455388,56,4,16,1,"node"
356.57,359.50,13.7732308108244340,100.1864809179369330,1028.00,436457,52,4,15,1,"node"
360.62,359.50,12.9305124305229441,92.2333451669201602,1011.00,428019,48,4,14,1,"node"
341.84,362.50,12.0474024487927681,84.2233905195102418,256.00,419472,44,4,13,1,"node"
336.18,367.50,11.5449677209721743,76.3815064419519052,1018.00,397007,40,4,12,1,"node"
329.38,364.50,10.6962374125055294,68.5094006270979158,1023.00,384310,36,4,11,1,"node"
305.85,367.70,9.9937097581226047,60.5818685537392297,186.00,363738,32,4,10,1,"node"
287.85,363.80,9.4458306405258346,52.8588682643825704,258.00,335771,28,4,9,1,"node"
263.83,359.90,9.0152683954867342,45.1214183194111047,1017.00,300359,24,4,8,1,"node"
216.52,362.90,8.6513949892693133,37.4864944885039345,186.00,260002,20,4,7,1,"node"
187.32,363.70,8.1545860716774379,29.8376304362677453,262.00,219567,16,4,6,1,"node"
187.32,363.70,8.1247645837065297,27.9654396971178752,1002.00,206549,16,4,5,1,"node"
148.32,367.80,7.7403926833361302,22.2923309280080550,257.00,172811,12,4,4,1,"node"
101.135,363.00,7.7667537215983285,14.8655666231392007,1008.00,114870,8,4,3,1,"node"
56.43,362.00,7.2444684295736643,7.3821133297355639,251.00,61149,4,4,2,1,"node"
17.53,289.30,7.7652715323417503,1.8636651677620201,283.00,14455,1,4,1,1,"node"
,,7.7580195258019526,0.17843444909344490979,72.00,1434,1,4,0,1,"node"
